Roof_Area_m2,Rainfall_mm,Runoff_Coefficient,Tank_Size_Liters,Liters_Captured
289.94,103.73,0.78,1000,23324.92
45.0,149.92,0.82,10000,5566.82
212.37,366.72,0.71,10000,55679.36
158.27,234.29,0.84,15000,31188.71
128.54,297.89,0.62,10000,23786.82
197.16,201.15,0.9,2000,35711.72
217.08,21.25,0.89,10000,4029.34
21.22,35.04,0.94,5000,783.83
66.75,219.79,0.93,15000,13614.89
219.65,290.33,0.72,2000,46195.59
206.59,93.98,0.74,2000,14419.14
290.49,291.54,0.86,1000,72933.42
233.09,326.16,0.65,5000,49173.9
286.22,170.64,0.71,10000,34690.34
216.71,301.1,0.64,10000,41860.89
103.45,167.57,0.76,1000,13130.94
49.5,274.56,0.79,10000,10833.89
238.91,307.96,0.67,2000,49507.53
200.36,396.85,0.61,10000,48429.21
33.49,144.7,0.85,10000,4220.81
120.81,170.31,0.61,2000,12494.56
287.9,74.59,0.94,5000,20122.33
160.11,89.59,0.68,5000,9775.58
141.16,280.42,0.83,2000,32935.65
148.16,367.65,0.75,2000,40916.73
78.49,163.9,0.62,15000,8039.58
123.24,80.14,0.77,15000,7612.77
123.55,121.19,0.78,10000,11762.95
34.66,187.47,0.9,10000,5793.81
234.92,123.35,0.86,15000,24807.6
136.62,101.1,0.63,10000,8655.82
250.21,297.03,0.67,5000,49986.75
258.1,13.06,0.71,5000,2418.92
79.36,220.3,0.64,1000,11256.53
204.06,319.57,0.76,15000,49531.94
152.24,113.83,0.94,5000,16375.35
266.44,245.28,0.78,1000,50991.08
80.41,270.87,0.86,2000,18777.59
209.79,265.46,0.84,5000,46726.0
190.17,183.88,0.9,1000,31385.08
102.68,145.17,0.68,10000,10114.98
58.25,336.01,0.86,1000,16913.25
202.46,305.79,0.91,5000,56215.9
226.81,135.29,0.66,10000,20198.06
108.38,50.18,0.72,10000,3891.94
200.55,38.0,0.94,1000,7173.28
130.64,46.77,0.87,1000,5270.35
219.7,237.32,0.7,5000,36453.62
75.78,30.15,0.8,10000,1746.13
269.26,141.4,0.74,15000,28182.43
100.47,303.75,0.77,1000,23577.62
122.98,124.8,0.72,15000,11093.99
36.27,307.69,0.7,15000,7797.61
51.22,300.73,0.84,10000,12878.0
164.44,105.87,0.87,5000,15267.78
94.93,294.24,0.91,15000,25309.14
253.93,301.63,0.65,5000,50069.97
24.11,165.01,0.89,1000,3563.77
126.15,92.06,0.69,10000,7951.16
114.46,213.3,0.75,2000,18348.89
25.41,369.35,0.92,10000,8632.33
54.82,259.45,0.76,2000,10811.83
135.82,77.44,0.67,1000,7073.91
158.0,276.28,0.66,5000,28692.41
133.2,176.61,0.77,1000,18007.72
168.66,240.7,0.87,10000,35203.02
186.64,296.28,0.95,2000,52490.83
22.78,210.83,0.88,2000,4168.32
149.95,327.45,0.91,10000,44503.18
289.78,291.64,0.86,10000,72830.0
165.33,249.88,0.91,1000,37734.35
209.71,68.81,0.63,15000,9056.1
107.32,336.02,0.93,2000,33350.13
236.72,375.0,0.74,10000,65504.41
236.42,63.42,0.92,1000,13905.31
165.96,200.41,0.63,15000,20768.74
293.28,110.97,0.85,5000,27714.59
55.15,304.26,0.86,10000,14374.69
24.75,291.44,0.95,15000,6853.28
235.64,64.95,0.87,5000,13333.79
246.0,352.04,0.73,5000,63535.37
53.66,80.58,0.8,1000,3369.15
94.36,320.93,0.73,2000,22105.68
24.91,188.22,0.67,10000,3168.86
102.13,138.03,0.69,15000,9687.3
236.48,71.71,0.68,5000,11534.25
165.03,75.37,0.79,2000,9868.49
117.47,268.14,0.92,5000,28885.13
124.09,224.67,0.92,10000,25622.85
20.38,57.61,0.62,10000,619.47
103.94,53.95,0.63,1000,3535.01
201.01,38.2,0.69,10000,5215.23
292.77,300.07,0.69,10000,60576.23
257.18,287.63,0.63,10000,46825.88
26.61,32.79,0.74,2000,555.64
271.6,228.51,0.81,15000,49999.92
239.3,43.02,0.8,15000,8238.09
238.51,362.46,0.79,10000,68380.82
148.24,363.78,0.72,15000,38647.39
131.44,282.31,0.85,10000,31398.07
104.82,371.21,0.89,15000,34541.93
38.39,326.47,0.72,15000,9079.35
83.91,333.13,0.63,5000,17618.37
89.05,232.19,0.7,2000,14587.33
155.54,129.36,0.65,5000,12984.48
229.28,94.94,0.76,5000,16573.83
152.67,137.61,0.65,15000,13754.38
36.2,255.11,0.76,1000,7123.16
288.18,77.34,0.68,1000,15123.16
283.96,110.87,0.86,2000,26985.94
239.85,192.54,0.61,10000,28165.83
297.57,100.89,0.79,15000,23872.01
172.46,239.57,0.66,2000,27172.02
289.58,370.04,0.6,5000,64316.84
41.17,301.75,0.9,15000,11224.16
122.39,269.91,0.84,5000,27674.33
83.11,237.26,0.63,2000,12518.46
74.83,200.3,0.83,1000,12560.48
59.42,82.76,0.81,2000,3966.22
194.28,358.94,0.77,15000,53420.04
238.77,106.93,0.75,15000,18996.03
181.92,45.61,0.91,10000,7585.55
61.15,302.51,0.69,1000,12666.69
247.11,78.49,0.74,15000,14325.36
198.07,155.04,0.72,1000,21997.88
128.69,21.03,0.87,15000,2395.04
208.76,63.46,0.92,1000,12212.55
92.77,77.55,0.9,2000,6546.92
116.65,31.22,0.88,1000,3205.4
276.9,266.1,0.95,5000,69672.63
101.34,336.43,0.84,2000,28789.05
151.6,155.59,0.86,15000,20387.89
269.24,351.08,0.94,15000,89231.86
218.16,93.21,0.6,10000,12198.91
37.42,136.9,0.82,5000,4229.17
61.24,68.79,0.86,10000,3540.56
22.2,252.02,0.92,2000,5195.99
196.66,173.75,0.91,10000,31130.21
145.35,249.18,0.89,2000,32379.49
57.6,307.05,0.93,10000,16439.55
288.22,222.82,0.79,1000,50515.21
168.3,254.78,0.6,2000,25829.15
87.73,374.75,0.6,2000,19872.35
160.17,126.64,0.79,1000,16052.85
210.29,150.07,0.75,1000,23757.18
41.35,289.9,0.76,5000,9071.91
96.92,248.41,0.74,1000,17864.52
245.95,79.63,0.92,10000,17993.0
148.71,156.7,0.73,1000,16863.35
173.04,192.46,0.9,1000,29894.59
141.19,173.56,0.92,2000,22413.78
32.29,79.53,0.77,2000,1932.59
66.41,370.53,0.76,1000,18498.79
144.75,307.3,0.87,5000,38501.91
78.57,197.73,0.85,2000,13211.79
33.99,275.22,0.71,10000,6703.9
256.22,359.94,0.64,10000,58676.3
294.73,63.11,0.69,1000,12910.62
242.08,107.65,0.65,1000,16814.19
259.06,221.65,0.7,5000,40364.87
87.75,321.61,0.69,1000,19484.05
288.98,24.14,0.82,15000,5754.78
75.14,393.77,0.93,15000,27779.69
286.4,187.41,0.84,1000,45022.63
298.55,150.1,0.92,15000,41471.13
219.28,124.16,0.87,10000,23781.6
294.72,78.0,0.85,1000,19721.76
179.47,318.71,0.74,10000,42627.87
92.67,382.61,0.71,10000,25276.39
142.36,171.32,0.9,15000,21845.67
186.2,381.44,0.92,5000,65156.64
40.46,331.28,0.76,10000,10247.28
194.26,197.61,0.6,15000,23194.26
294.73,272.87,0.88,5000,70539.78
73.23,179.64,0.7,15000,9230.15
241.93,227.9,0.6,15000,33352.03
274.21,32.64,0.88,1000,7914.65
284.24,281.54,0.78,2000,62500.44
288.84,30.6,0.84,5000,7352.44
166.01,328.66,0.92,15000,50265.26
293.65,331.73,0.79,10000,76890.89
232.05,102.46,0.78,10000,18417.22
65.27,136.23,0.7,2000,6275.98
153.53,197.71,0.71,5000,21494.04
221.13,242.7,0.88,1000,47117.25
89.26,122.07,0.76,5000,8211.7
199.37,241.07,0.66,10000,31616.54
206.65,126.14,0.63,10000,16562.42
65.56,31.64,0.77,1000,1571.43
178.22,10.99,0.76,1000,1483.02
236.06,49.45,0.83,10000,9638.75
159.69,318.98,0.76,15000,39022.57
23.39,384.96,0.65,15000,5887.21
22.53,176.52,0.78,1000,3037.34
119.97,209.95,0.92,15000,23188.94
279.33,67.27,0.66,1000,12495.78
84.03,224.9,0.84,5000,15811.42
197.62,66.42,0.81,5000,10620.6
82.18,248.37,0.86,5000,17517.62
110.07,373.97,0.65,1000,26852.08
257.45,86.32,0.93,1000,20585.11
224.08,308.18,0.82,15000,56516.7
46.71,19.17,0.9,15000,784.19
140.04,156.44,0.69,15000,15086.18
28.17,53.19,0.86,2000,1295.33
154.65,147.47,0.87,1000,20002.56
205.48,77.68,0.74,5000,11736.8
53.18,155.59,0.73,5000,5966.86
100.89,172.83,0.83,2000,14447.63
131.39,127.23,0.63,2000,10558.27
277.47,266.08,0.86,5000,63226.89
298.11,368.35,0.62,1000,67555.76
32.58,166.23,0.67,5000,3629.33
233.08,85.01,0.83,5000,16561.85
124.08,115.58,0.63,2000,9150.32
129.89,343.06,0.94,2000,41867.44
231.19,232.94,0.9,15000,48623.09
277.16,187.45,0.82,2000,42475.89
286.26,68.36,0.89,5000,17340.72
181.59,185.39,0.91,15000,30647.7
119.99,118.61,0.69,5000,9851.45
240.51,377.83,0.9,1000,81459.31
90.28,354.79,0.67,1000,21408.98
177.94,42.72,0.74,2000,5687.35
120.4,211.49,0.8,15000,20221.74
203.86,97.77,0.85,10000,16967.32
87.31,170.2,0.61,1000,9061.17
73.65,351.97,0.7,1000,18247.62
277.11,215.73,0.81,1000,48672.11
48.51,140.34,0.73,1000,4937.27
161.67,91.08,0.87,2000,12871.54
81.84,322.13,0.83,15000,21762.59
30.9,253.56,0.68,1000,5320.15
30.09,192.55,0.65,2000,3789.89
69.06,94.82,0.82,15000,5348.41
262.7,140.36,0.76,15000,27921.89
99.09,384.34,0.66,10000,25054.91
286.13,212.84,0.71,5000,43581.99
182.85,166.27,0.71,1000,21419.21
142.25,213.35,0.64,2000,19397.26
182.42,313.81,0.79,15000,45280.22
164.68,142.64,0.87,10000,20403.17
232.46,79.7,0.8,5000,14815.38
99.1,238.13,0.89,15000,20965.63
118.85,269.43,0.64,15000,20663.65
270.35,287.96,0.75,1000,58608.88
285.01,353.98,0.81,5000,82093.77
269.92,154.76,0.84,5000,34947.64
137.45,39.39,0.84,2000,4620.38
238.5,383.76,0.86,10000,78279.57
153.37,179.65,0.83,2000,22807.51
159.31,253.07,0.63,10000,25562.08
77.31,269.86,0.84,2000,17600.26
185.52,223.14,0.85,10000,35350.77
72.12,90.05,0.95,1000,6105.35
112.84,304.51,0.84,10000,28922.14
259.41,323.46,0.84,2000,70536.81
77.98,225.66,0.78,5000,13684.99
39.92,200.54,0.9,15000,7237.37
39.32,54.44,0.95,10000,1936.27
283.42,42.74,0.87,10000,10666.46
161.94,142.43,0.81,5000,18817.15
134.64,131.23,0.63,1000,11066.7
247.05,381.93,0.85,2000,80686.94
254.03,315.61,0.85,1000,67943.98
113.01,267.37,0.87,10000,26304.05
214.21,211.88,0.64,10000,29236.87
235.91,75.27,0.83,1000,14764.56
203.3,391.6,0.7,2000,55979.22
62.45,156.27,0.87,10000,8474.53
265.25,51.7,0.68,10000,9398.69
170.95,202.58,0.84,1000,29067.42
99.09,350.86,0.7,15000,24422.99
139.06,356.04,0.6,5000,29905.66
30.52,14.28,0.82,10000,257.27
55.8,355.66,0.64,2000,12701.67
234.35,115.88,0.83,15000,22526.2
20.0,25.2,0.92,1000,459.65
136.64,340.64,0.94,1000,43681.36
166.3,346.91,0.68,2000,39318.53
35.3,242.53,0.88,15000,7528.9
292.46,234.03,0.72,2000,49508.62
83.32,327.12,0.92,10000,24929.99
105.18,316.66,0.88,15000,29161.97
105.1,357.14,0.63,5000,23524.68
84.52,225.57,0.74,5000,14229.49
20.41,387.38,0.72,2000,5681.46
224.22,398.5,0.87,5000,78112.1
290.72,55.45,0.74,2000,12026.32
82.8,341.32,0.84,10000,23742.37
205.65,204.93,0.81,10000,34123.22
227.73,161.15,0.94,2000,34554.96
257.56,249.1,0.93,10000,59586.39
138.34,31.83,0.75,5000,3258.46
104.82,207.52,0.85,10000,18532.04
111.08,349.65,0.89,5000,34583.24
219.53,93.25,0.91,5000,18708.94
248.7,176.29,0.62,1000,27274.28
70.85,376.4,0.71,10000,18937.94
123.86,177.14,0.71,10000,15593.75
272.54,149.76,0.75,2000,30661.65
245.87,181.81,0.66,2000,29450.72
295.76,212.59,0.77,15000,48638.79
231.19,256.48,0.83,5000,49356.14
130.09,322.27,0.77,1000,32399.68
185.38,186.32,0.83,5000,28834.86
205.08,328.82,0.62,10000,41957.62
41.97,218.15,0.91,15000,8277.3
172.46,142.01,0.93,5000,22781.35
218.61,266.6,0.82,15000,47607.94
66.85,289.91,0.91,5000,17467.15
238.58,227.64,0.65,10000,35080.62
183.46,32.08,0.88,10000,5175.93
286.62,76.25,0.64,5000,14036.36
31.88,121.27,0.74,1000,2840.79
94.29,120.22,0.71,10000,8073.27
188.44,272.63,0.8,2000,41379.11
103.04,17.16,0.71,1000,1284.03
220.04,304.72,0.82,5000,55113.34
232.52,113.48,0.73,1000,19248.28
48.7,130.91,0.9,2000,5763.48
163.88,215.88,0.82,10000,29118.46
162.49,94.21,0.68,10000,10294.89
123.4,354.94,0.72,10000,31454.35
281.22,43.29,0.9,2000,10822.35
251.7,183.31,0.74,1000,33905.96
215.22,341.27,0.79,5000,57826.64
220.01,250.18,0.83,5000,45531.02
149.28,124.01,0.72,1000,13396.99
277.88,174.1,0.7,10000,33949.54
214.49,285.61,0.77,5000,47005.76
224.11,389.57,0.68,10000,58834.16
261.27,358.32,0.7,15000,65400.7
96.74,143.55,0.62,15000,8680.91
245.98,399.3,0.71,5000,69386.12
74.67,11.37,0.71,1000,689.84
116.7,20.78,0.94,1000,2309.12
113.97,331.3,0.81,1000,30449.12
293.99,87.79,0.88,10000,22573.57
259.83,33.7,0.62,15000,5361.47
216.33,102.49,0.64,10000,14147.62
223.58,176.18,0.89,2000,34833.99
177.38,294.92,0.82,2000,42817.33
285.19,253.49,0.67,5000,48173.6
158.95,102.67,0.74,2000,12114.32
126.54,206.28,0.79,1000,20660.21
65.65,371.22,0.9,5000,21846.0
240.14,327.85,0.62,15000,48879.15
225.64,136.04,0.81,15000,24847.34
127.62,393.08,0.85,2000,42702.4
27.05,286.36,0.94,2000,7310.31
254.92,34.36,0.88,15000,7748.02
23.2,23.71,0.7,2000,428.59
217.04,75.68,0.85,2000,13988.0
291.67,293.86,0.87,10000,74324.89
142.55,81.66,0.86,15000,9888.03
85.79,209.48,0.89,15000,15946.14
217.36,46.37,0.92,2000,9228.0
248.8,369.15,0.63,1000,58296.68
173.0,144.14,0.64,10000,15816.09
290.77,364.17,0.88,1000,93074.89
34.47,378.5,0.69,2000,8986.27
161.34,12.39,0.62,15000,1191.69
221.17,191.01,0.74,1000,31176.32
261.54,19.62,0.89,5000,4593.83
70.19,364.39,0.64,1000,16429.82
244.0,212.18,0.84,15000,43163.01
174.76,39.23,0.6,2000,4093.71
131.04,53.01,0.64,1000,4492.88
56.88,159.57,0.72,2000,6570.09
262.28,376.69,0.63,10000,62192.99
64.04,280.23,0.9,5000,16077.72
106.74,348.37,0.9,15000,33572.07
101.21,152.92,0.86,15000,13369.11
264.0,26.85,0.68,2000,4831.61
208.36,389.98,0.78,5000,63602.36
243.07,16.7,0.66,15000,2681.52
90.13,379.58,0.7,1000,24016.17
194.96,153.78,0.78,15000,23432.91
180.09,13.94,0.86,1000,2108.47
253.19,278.77,0.63,15000,44621.5
273.7,392.41,0.7,1000,75591.51
23.4,386.59,0.92,10000,8277.58
208.73,72.77,0.75,2000,11439.25
34.51,80.69,0.93,10000,2458.35
173.68,230.56,0.95,1000,37905.47
100.54,258.55,0.78,2000,20297.72
105.9,298.37,0.7,5000,22166.02
118.83,80.61,0.88,1000,8360.45
193.96,384.01,0.66,15000,48878.66
113.53,259.11,0.69,15000,20137.48
225.16,340.35,0.87,5000,67086.55
133.27,220.63,0.75,10000,22121.47
39.14,171.57,0.67,1000,4500.91
239.45,391.1,0.83,15000,77490.4
100.01,237.03,0.86,2000,20287.62
141.17,348.08,0.64,5000,31671.08
211.92,381.78,0.7,10000,56347.41
113.09,273.39,0.68,10000,20938.95
35.84,224.09,0.73,2000,5872.12
124.7,11.37,0.87,2000,1238.53
284.45,25.61,0.85,5000,6120.21
199.69,88.33,0.83,2000,14745.88
208.01,82.54,0.6,15000,10386.71
197.04,109.36,0.65,10000,13911.78
75.72,128.92,0.68,2000,6521.85
137.13,150.43,0.7,1000,14410.82
230.26,174.01,0.65,2000,26097.59
48.38,48.56,0.74,10000,1656.98
97.8,26.52,0.63,15000,1599.77
97.37,272.84,0.86,2000,22898.97
140.97,219.56,0.88,15000,27135.31
294.5,183.22,0.8,1000,43267.07
38.9,257.43,0.63,10000,6329.25
165.24,332.79,0.91,5000,50116.18
70.22,176.8,0.94,10000,11621.47
291.79,260.04,0.67,5000,50970.03
51.72,381.89,0.85,5000,16702.6
133.01,337.45,0.89,10000,40182.7
226.61,176.14,0.79,5000,31436.89
217.28,261.44,0.71,15000,40447.42
138.36,79.06,0.77,1000,8404.97
117.03,228.6,0.78,2000,20829.28
131.33,392.72,0.74,5000,38109.17
94.0,212.14,0.93,5000,18438.08
77.49,371.78,0.86,10000,24911.63
155.25,168.86,0.68,15000,17941.68
95.19,399.55,0.8,2000,30599.4
100.49,235.9,0.84,5000,19921.97
203.89,26.48,0.65,15000,3564.86
291.19,238.83,0.73,2000,50445.03
189.02,117.08,0.92,10000,20305.17
41.55,22.67,0.8,5000,787.99
41.16,330.13,0.68,10000,9250.95
286.4,117.53,0.64,10000,21607.26
103.24,320.65,0.78,5000,25819.27
45.78,122.4,0.79,15000,4400.57
187.73,85.79,0.72,15000,11580.71
194.62,389.83,0.82,10000,62301.02
201.58,151.04,0.62,10000,19010.05
94.87,244.54,0.65,1000,15147.38
24.23,247.89,0.79,2000,4790.9
290.2,228.58,0.62,10000,41205.88
90.25,366.73,0.91,10000,29988.1
209.29,273.03,0.65,2000,37106.22
217.86,167.46,0.84,5000,30520.59
190.8,346.33,0.74,15000,48720.57
107.61,80.61,0.74,5000,6328.89
95.91,222.25,0.87,2000,18377.68
187.35,380.71,0.77,2000,55298.59
262.51,253.91,0.85,1000,56955.02
285.09,328.62,0.78,1000,72793.39
49.65,264.89,0.81,15000,10666.28
63.35,337.35,0.87,10000,18524.1
284.53,378.35,0.81,2000,87405.88
226.23,116.44,0.82,1000,21465.53
267.24,76.17,0.88,5000,17831.7
76.74,198.76,0.93,1000,14189.11
184.52,283.73,0.73,5000,38286.17
216.32,98.6,0.8,1000,17101.88
210.43,11.6,0.63,5000,1496.83
134.28,143.74,0.73,1000,13898.9
24.31,387.86,0.74,1000,7022.56
183.22,281.04,0.89,15000,46009.79
90.87,166.52,0.78,10000,11687.31
146.07,85.1,0.86,2000,10647.95
288.12,148.87,0.61,10000,25971.36
131.73,76.24,0.76,15000,7692.32
255.14,51.46,0.92,5000,12038.64
72.79,363.63,0.68,10000,18012.17
208.29,399.08,0.61,2000,50749.71
293.56,74.0,0.75,2000,16333.78
48.53,31.26,0.85,5000,1408.9
22.33,138.6,0.76,2000,2359.27
141.4,190.05,0.76,15000,20485.82
45.94,89.88,0.83,10000,3515.25
229.55,127.56,0.69,2000,20130.92
276.07,88.34,0.86,10000,20950.04
141.53,311.96,0.65,1000,28771.59
92.44,287.91,0.74,10000,19596.61
141.63,257.63,0.83,5000,30250.46
222.57,161.01,0.89,15000,31916.65
22.54,364.53,0.88,2000,7252.2
185.05,388.12,0.85,15000,61179.29
191.72,77.72,0.73,10000,10920.27
198.55,96.97,0.64,2000,12442.01
87.77,215.0,0.68,15000,12728.37
219.93,45.59,0.9,5000,9169.74
45.59,180.21,0.9,1000,7424.55
75.8,236.9,0.93,1000,16750.34
265.69,213.61,0.63,5000,35515.0
226.84,139.05,0.79,1000,24796.79
23.85,221.55,0.83,5000,4416.76
89.55,383.93,0.85,10000,29183.61
80.03,90.35,0.83,5000,5989.18
95.83,265.38,0.87,1000,22055.21
89.32,26.92,0.73,10000,1772.67
37.51,35.9,0.66,5000,896.25
148.5,225.21,0.67,5000,22407.47
225.17,50.93,0.6,10000,6857.06
189.88,18.72,0.72,2000,2569.91
208.4,76.89,0.63,1000,10163.3
42.72,230.29,0.71,2000,7063.16
286.42,284.3,0.82,10000,66773.39
254.78,88.97,0.91,10000,20655.92
245.43,270.62,0.89,15000,59368.91
250.44,81.17,0.69,15000,14011.45
281.16,249.25,0.65,10000,45297.55
172.39,170.66,0.67,15000,19617.16
76.08,264.98,0.94,5000,18948.3
192.7,398.07,0.79,2000,60788.04
228.01,375.75,0.66,10000,56813.49
226.62,11.67,0.89,5000,2337.37
166.01,355.32,0.74,1000,43556.88
39.17,35.93,0.91,1000,1312.21
123.91,381.69,0.69,15000,32699.45
277.81,119.91,0.74,15000,24587.42
183.65,158.99,0.78,5000,22692.21
170.73,45.74,0.91,1000,7084.09
95.28,53.79,0.9,10000,4701.97
123.17,293.43,0.8,2000,28930.08
270.7,378.29,0.68,15000,69351.92
206.61,248.19,0.74,5000,37933.68
240.47,289.18,0.94,15000,65443.16
147.22,307.17,0.81,5000,36716.75
196.47,112.5,0.87,1000,19284.98
89.55,27.64,0.76,15000,1890.65
217.53,10.73,0.79,5000,1894.61
139.73,146.75,0.75,5000,15422.59
143.91,104.17,0.85,15000,12582.51
201.81,34.3,0.9,2000,6267.26
282.16,80.02,0.78,10000,17581.58
37.92,58.55,0.77,1000,1796.08
250.93,366.8,0.72,15000,66154.87
101.87,64.7,0.66,15000,4312.91
144.3,219.68,0.93,2000,29483.9
26.14,241.31,0.71,1000,4519.51
104.29,221.96,0.88,15000,20342.83
160.74,48.63,0.85,2000,6634.61
35.73,134.33,0.88,10000,4232.3
157.51,30.0,0.93,5000,4401.14
279.59,164.31,0.82,10000,37585.32
49.51,83.55,0.91,10000,3786.77
234.04,229.04,0.66,10000,35268.07
134.71,280.2,0.82,10000,30915.86
203.45,217.53,0.87,5000,38446.16
92.87,179.35,0.7,1000,11576.73
64.66,161.06,0.86,1000,8879.7
64.93,338.26,0.87,2000,19106.86
39.74,95.55,0.89,2000,3542.23
71.98,296.35,0.71,15000,15039.73
205.98,305.42,0.84,10000,52803.08
266.87,173.49,0.71,10000,32723.56
247.96,125.95,0.86,5000,26830.47
211.84,193.51,0.76,10000,31184.95
50.92,46.35,0.81,5000,1946.36
100.97,27.91,0.75,15000,2010.37
106.75,53.53,0.66,2000,3727.4
89.99,82.99,0.66,2000,4946.93
164.2,206.63,0.63,15000,21361.58
169.96,341.16,0.82,15000,47365.31
119.93,101.9,0.9,10000,10940.7
119.06,374.71,0.61,2000,27079.64
252.0,382.41,0.62,1000,60082.81
241.0,383.97,0.76,15000,70278.94
106.18,336.65,0.86,2000,30733.13
275.86,151.89,0.66,2000,27448.68
286.79,38.35,0.7,5000,7600.28
111.49,231.84,0.68,2000,17537.48
119.24,227.89,0.74,15000,19974.05
161.58,341.49,0.68,10000,37539.1
283.51,398.44,0.72,2000,81623.64
265.37,208.18,0.85,1000,47257.87
48.72,144.63,0.81,15000,5756.27
129.96,82.5,0.63,10000,6714.2
174.94,11.87,0.82,10000,1704.08
160.88,208.55,0.77,15000,25713.28
74.28,226.65,0.93,10000,15619.86
260.47,331.73,0.7,1000,60572.08
209.54,206.79,0.85,2000,36996.59
254.61,367.42,0.86,15000,80057.0
260.45,254.95,0.68,2000,45021.24
229.54,337.73,0.92,2000,71050.69
142.98,67.84,0.77,10000,7480.83
190.95,343.58,0.84,15000,54941.11
64.9,273.31,0.65,2000,11576.6
208.62,76.39,0.69,5000,10957.04
70.19,84.01,0.81,1000,4689.28
214.31,371.34,0.71,10000,56566.31
84.29,22.56,0.77,15000,1485.7
52.91,190.39,0.73,15000,7418.03
66.28,132.26,0.82,10000,7228.29
20.56,269.38,0.77,2000,4280.14
221.25,337.46,0.6,10000,44891.12
225.07,150.55,0.83,15000,28048.29
164.18,176.49,0.75,5000,21673.93
65.18,392.95,0.72,2000,18455.09
43.4,315.73,0.63,10000,8552.56
25.36,359.91,0.68,15000,6200.85
66.41,181.12,0.68,15000,8190.31
269.44,101.29,0.93,15000,25339.88
87.63,170.63,0.75,5000,11228.62
119.2,289.28,0.61,2000,21283.72
49.5,52.68,0.65,10000,1737.98
82.26,115.48,0.63,2000,6035.22
165.38,28.19,0.81,15000,3780.58
190.17,178.62,0.67,5000,22599.21
88.7,332.7,0.77,5000,22885.23
36.17,19.62,0.73,15000,486.31
129.49,273.38,0.88,2000,31240.79
85.58,373.67,0.71,2000,22750.99
81.48,102.4,0.76,5000,6314.65
288.76,280.52,0.85,1000,68984.94
192.56,390.29,0.75,5000,56542.89
175.93,385.29,0.88,5000,59588.13
136.42,101.62,0.83,10000,11596.75
140.1,49.13,0.74,5000,5163.99
171.45,67.83,0.78,1000,9075.7
215.0,283.79,0.94,5000,57309.36
216.6,293.05,0.83,2000,52776.39
68.07,272.95,0.92,10000,17015.06
160.03,141.07,0.66,10000,14909.23
135.35,76.21,0.77,5000,8026.93
263.75,236.5,0.92,10000,57252.62
196.8,198.64,0.71,10000,27875.59
169.1,294.25,0.94,5000,46650.07
52.31,182.13,0.63,1000,6001.41
189.58,142.07,0.92,5000,24619.96
52.82,124.46,0.76,2000,4950.4
114.42,92.47,0.63,15000,6653.34
60.0,113.64,0.91,1000,6212.9
213.78,46.98,0.69,5000,6942.33
77.75,145.27,0.61,1000,6864.26
129.72,24.26,0.65,15000,2075.43
270.79,82.7,0.83,10000,18595.62
77.21,301.24,0.94,10000,21937.61
162.19,136.93,0.64,15000,14171.87
137.4,270.61,0.76,10000,28375.37
25.07,289.58,0.66,1000,4771.08
241.97,236.66,0.86,10000,49348.52
39.33,383.89,0.64,15000,9701.76
152.79,18.36,0.68,15000,1994.66
176.99,298.07,0.67,15000,35247.25
195.96,383.93,0.79,2000,59677.81
212.82,346.29,0.91,1000,66726.78
90.92,75.48,0.78,15000,5301.67
22.79,137.46,0.62,1000,2042.47
222.56,77.26,0.8,2000,13671.57
169.98,244.51,0.88,1000,36492.98
254.11,287.75,0.65,5000,47327.95
249.99,133.66,0.63,2000,20936.56
256.13,220.41,0.67,2000,37573.27
155.83,279.46,0.86,10000,37407.12
113.42,174.32,0.81,15000,16042.6
241.64,343.07,0.79,2000,65520.45
146.36,310.9,0.69,1000,31306.72
71.36,35.22,0.72,5000,1826.34
259.39,252.24,0.94,1000,61386.47
267.12,101.78,0.68,1000,18579.92
150.57,227.43,0.92,5000,31413.22
41.2,383.19,0.8,10000,12659.7
128.59,352.83,0.64,15000,29208.69
244.99,167.76,0.76,2000,31393.16
272.5,123.69,0.93,15000,31412.42
76.97,101.42,0.75,10000,5784.85
38.75,217.68,0.9,5000,7550.82
265.66,54.56,0.69,15000,10021.6
129.03,224.22,0.8,1000,23118.49
171.69,10.52,0.9,2000,1624.43
291.06,136.3,0.92,2000,36596.85
38.64,95.77,0.77,10000,2865.04
201.53,388.78,0.82,10000,64545.45
40.75,293.62,0.6,5000,7223.93
125.13,146.36,0.69,10000,12608.01
245.07,46.21,0.7,15000,7887.38
141.37,211.55,0.63,2000,18960.16
299.21,93.24,0.7,5000,19472.44
176.54,219.21,0.71,10000,27579.89
109.93,335.79,0.94,1000,34710.17
81.63,250.16,0.83,2000,17052.26
118.15,257.18,0.75,5000,22807.62
124.31,221.0,0.95,2000,25905.04
39.24,371.63,0.65,15000,9663.96
123.48,373.44,0.77,10000,35387.01
149.99,209.96,0.83,10000,26056.8
222.37,129.25,0.62,10000,17796.21
203.88,189.24,0.85,1000,32757.05
218.45,82.76,0.63,15000,11515.11
22.34,258.17,0.65,1000,3799.51
80.95,205.04,0.66,15000,10800.58
205.27,50.29,0.93,15000,9593.79
155.52,87.08,0.84,15000,11441.43
21.49,197.06,0.83,10000,3587.12
245.26,356.16,0.79,10000,69420.34
236.39,230.89,0.7,10000,38337.49
173.56,275.8,0.82,1000,39169.55
38.61,142.22,0.74,5000,4103.63
234.62,232.85,0.65,15000,35578.19
